-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
COMPARTILHAR PROMO EIRELI - EPP                         Relatório do faturamento - realizado - 21/10/2020  15h25             SFE5003(SFE5003F)                                        Folha: 0001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Filtros aplicados
[Cliente.: 00001 - 00001]    [Contrato.: 000001 - 000001]  [Loja.: 00000 - 99999]        [Rede.: 0000 - 9999]          [Serviço.: 00000 - 99999]
[Dia Faturamento.: 01 - 31]  [Competência: 10/2020]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Cliente: 00001   CNPJ: 77.752.293/0001-98 - COOPERATIVA AGROINDUSTRIAL LAR                     - LAR
"OUTROS MEDIANEIRA, 1220, SALA 05, CEP 85884-000 - MEDIANEIRA - PR  Obs.:"
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Tarefas                    Seq   Loja UF Cidade                    Bairro                   Endereço                             CNPJ/Matrícula  Valor mensal    Valor 13o. Dat.Inicio   Data fim
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
Rede No 0001 - ROLDÃO
"00088-2 VISITAS SEMANAIS   0001 00001 SP SAO PAULO                 LIMAO                    AV. INAJAR DE SOUZA/ ORLANDO MARCH,6 00000006226969       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0002 00002 SP SAO PAULO                 CHACARA NOSSA SENHORA DO RUA NOSSA SENHORA DO BOM CONSELHO,25 00000006603689       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0003 00003 SP SAO PAULO                 VILA ALMEIDA             AV. DAS NACOES UNIDAS,22613          00000006839288       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0004 00004 SP SAO PAULO                 VILA LAGEADO             AV. CORIFEU DE AZEVEDO MARQUES,3672  00000006173986       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0005 00005 SP OSASCO                    SAO PEDRO                RUA LUIS HENRIQUE DE OLIVEIRA,46     00000006566373       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0006 00006 SP SAO PAULO                 MOOCA - HIPODROMO        VIADUTO ALCANTARA MACHADO,2078       00000006266039       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0007 00007 SP SANTO ANDRE               CASA BRANCA              AV. SANTOS DUMONT,1001               00000006636180       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0008 00008 SP SAO PAULO                 IPIRANGA                 RUA DO MANIFESTO,1183                00000006693505       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0009 00009 SP SAO PAULO                 ITAIM PAULISTA           AV. MARECHAL TITO,5768 LJ 2          00000006701044       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0010 00010 SP GUARULHOS                 CENTRO                   AV. SALGADO FILHO,1800               00000006682781       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0011 00011 SP SAO PAULO                 JARDIM PRUDENCIA         AV. CUPECE,4585                      00000006866125       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0012 00012 SP ITAPEVI                   SAO JOAO                 RODOVIA ENGENHEIRO RENE B DA SILVA,9 00000006893389       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0013 00013 SP JANDIRA                   NUCLEO MICRO INDUSTRIAL  AV. SEBASTIAO JORDAO / URANO,790     00000006898177       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0014 00014 SP SAO PAULO                 JARDIM TAIPAS            AV. RAIMUNDO PEREIRA DE MAGALHAES,11 00000006909480       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0015 00015 SP SAO PAULO                 JARDIM SAO PAULO ZONA LE RUA INACIO MONTEIRO,8                00000006937928       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0016 00016 SP SAO PAULO                 VILA JOAO BATISTA        RUA DOMINGOS VEGA,47                 00000006103535       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0017 00017 SP SAO PAULO                 PARQUE COLONIAL          AV. MANUEL ALVES SOARES,695          00000006102149       249,92          0,00  01/10/2020 31/10/2020"
